[INFO][tm:2018-12-28 20:16:51,023][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:51,023][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:51,025][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:51] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:51,081][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:51] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:51,664][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:51,664][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:51,664][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:51] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:51,717][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:51] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:52,456][pt:8004:5776][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:16:52,456][pt:8004:5776][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ada
[INFO][tm:2018-12-28 20:16:52,457][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:52] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:16:52,510][pt:8004:5776][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:16:52] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:17:41,236][pt:12668:6728][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Restarting with stat
[WARNING][tm:2018-12-28 20:17:42,753][pt:11428:11000][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Debugger is active!
[INFO][tm:2018-12-28 20:17:42,762][pt:11428:11000][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Debugger PIN: 841-965-237
[INFO][tm:2018-12-28 20:17:42,767][pt:11428:3388][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[INFO][tm:2018-12-28 20:17:47,107][pt:11428:3388][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:17:47,107][pt:11428:3388][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] ddddddd
[INFO][tm:2018-12-28 20:17:47,158][pt:11428:3388][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:17:47] "GET / HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:17:47,362][pt:11428:3388][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py] 127.0.0.1 - - [28/Dec/2018 20:17:47] "GET /static/favicon.ico HTTP/1.1" 200 -
[INFO][tm:2018-12-28 20:18:00,660][pt:11428:11000][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Detected change in 'E:\\workspace\\flask_base_plus\\app\\controller\\home\\IndexView.py', reloading
[INFO][tm:2018-12-28 20:18:00,694][pt:12668:6728][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Restarting with stat
[WARNING][tm:2018-12-28 20:18:02,269][pt:1360:2572][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Debugger is active!
[INFO][tm:2018-12-28 20:18:02,279][pt:1360:2572][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Debugger PIN: 841-965-237
[INFO][tm:2018-12-28 20:18:02,285][pt:1360:12492][file:_internal:_log:88][E:\Python27\lib\site-packages\werkzeug\_internal.py]  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[INFO][tm:2018-12-28 20:18:06,707][pt:1360:12492][file:IndexView:dispatch_request:16][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] xxxxxxxxxx
[DEBUG][tm:2018-12-28 20:18:06,707][pt:1360:12492][file:IndexView:dispatch_request:17][E:\workspace\flask_base_plus\app\controller\home\IndexView.py] 1111111
